comments,results_True,results_chatgpt
this see some image japanese aid be divert to hamas military infrastructure and equipment so sad these may have help in terrorism,1.0,-1
well some may have already read this and therefor think japan be announce an additional 65 million,0.0,-1
huh I m no accomplished historian but I do know they go into exile in the beginning of the 1st2nd century by the roman under titus oh so just bc you write down a data spread of approximate time the roman occupy ancient judean land of israel be conquer and their migratory path thereafter that make you a more credible source of information when all I be do be provide a rough summary of their homeland jeez get off my ass this long history of fighting be not a new one and palestinians be not the victim here both have kill back and forth at each other neck since before the year 0 at this point both be guilty and the occupation of jerusalem and the holy land be only up to who reign victorious at the end of the day the bible be write and document history that the israelites be the original settler of judea if its about who be first that s your answer this be nt I fire shot at islam its state in the bible it be write 600 year before islam start with mohammad and even before the quran be ever write I m not even white bruv,-1.0,0
"hamas be elect to represent the palestinians hamas have never hide their intention its not as if the people vote for hama under false pretense 

 a right wing extremist kill rabin be zionist be unrelated to be a right wing extremist",1.0,0
"  say that the goal of hamas be to destroy israel 

 the hamas charter of 1988 explicitly call for the killing of jewsin 2017 they remove those clause but the action of hamas on october 7th have show that their target be essentially any jews that they can find 



  israel be a fascist country 

 israel be a liberal democracy",1.0,-1
"that be a false narrative amilelka   hamas commit murder by go into home and nearly decapitate kid and parent   hamas commit murder by kidnap jewish concertgoer and then rape they beat they drive their mutilate corpse through the street and then dismember their body  

 israel retaliate by launch a military campaign against hamas   hamas hide among its civilian   israel have no choice but to attack they where they stand   if hamas field a stand army and meet israel on the field of combat where civilian casualty would be low israel would rather prefer that   ask yourself one thing who fight to kill more palestinians the idf with its hitech weaponry or hamas who launch rocket from crowded street know israel will know where the rocket come from and invite a retaliatory strike 

 israeli leader be call for the extermination of hamas   unless you be buck the talk head claim that all palestinians be not hamas and ignore the all hamas be palestinians israel would rather not have to deal with gaza   it be a pain for they in 2005 its a pain for they today and will be a pain tomorrow and the day after",-1.0,1
ah so the latter they do want to kill israelis the same way israelis have kill palestinian,1.0,-1
"right how many october 7th do it take to equal the total palestinian dead 

 or be israeli life worth more",1.0,1
alright then gaza vote for a government whose goal be to kill all the jews and destroy israel well israel start the indefinite blockade of gaza precisely to prevent the smuggling of weapon by hamas its not just for fun,1.0,-1
"they only want to wipe out israelis just because they ca nt there s still rocket fly to israel 
 israel can wipe out palestinians easily but they do nt",-1.0,0
"both side be piece of shit to different degree for clarification but I have more sympathy for the jews after learn abit of the history of that area there s a reason why not many jews exist outside of israel in the middle east and the general anti semitism in the general arabmuslim world still linger on heavily  
 war suck but it be nt israel who start this I be hope the future leadership of palestine be more open to talk with two state solution as the previous one be clearly not work",-1.0,0
"rabin be no saint he have a lot of baggage of ethnic cleansing and be responsible for the death of ten of thousand of civilian but religious zionism be nt his project 

 he understand late in life that war would never be the solution and pay with his life for it take by the same radical that be now in government 

 so no I do nt believe he be zionism personify",-1.0,0
if the goal of israel be the destruction of all the palestinians they could have do it decade ago if hamas have the same power israel would nt exist anymore,-1.0,1
I believe you need to do some reading about the zionist movement specifically its origin and secular history I think you would be surprised at how little part religion take in its ideology,1.0,0
"not to continue the cycle of they be there first but jews have exist in israel for hundred of year it be literally the birthplace of jews before islam even be a thing  
 you can only go so far back until the claim of someone place become silly from the perspective of both side they be occupy by eachother  
 in an ideal world it would be amazing to see both israelis and palestinians can coexist but I personally think relgion get in the way in both side with islam be more extreme towards modern right lgbt and woman right ect",-1.0,1
"jews do nt want a homeland in germany which be not their traditional home israel have be the homeland of the jews for thousand of year so it make more sense to have they go back to their homeland   


 also even if there be no jews in the middle east the arab state be perfectly capable of wage war with each other and commit terrorism   


 the iran iraq war the syrian civil war and rise of isis yemeni houthi war against saudi arabia to name a few",-1.0,0
spend fifteen minute research the zionist movement in the nineteenth century and you will see why this or anywhere in europe really be not a good idea,0.0,1
"what   of course israel have the power to do it they be actually do it and no one doubt they will win with such an advanced military capacity and the backup from the big economic power humanity have see they would nt doubt nuke gaza to the ground if america give the green light have you ever see the retheoric their military leader be use literally nazi propaganda 

 but they ca nt afford lose their international support and in reality would nt solve anything 

 and yes of course if hamas have the same power they would do it they be terrorist and as the power balance would be in the other extreme all the human right activist would be support israel and send humanitarian aid",-1.0,0
the current conflict be prove that israel be not up to the task paleatinian fight too hard and adapt too well,1.0,0
"hey you ca nt add nuance and reason to the moral grandstand party we bad israel bad its that simple 

 the only solution those moralist will accept be because israel wrong they have to uproot their entire population to somewhere else",1.0,1
"okay so there s a problem   I have try look at the website you mention in the past but have not see anything that sound like description of rape parading in the street baby in oven etc etc   the site also have photo that have since be prove as be ai or from other conflict 

 so if we know that there be at least several false photo among they then how do we know which one be real   I mean the israelis be nt exactly know for their honesty   plus there s a lot of evidence that they kill their own 

 that take I back to my original point   when you decorate your argument with lie to sound more dramatic it weaken your entire argument",1.0,-1
the way that most westerner feel about the sunnishia divide which be to say no opinion be similar to how most japanese people view the jewish and muslim tension japan have few preconception about the conflict than any other g7 nation so there be relatively little support for israel here we have be tell to feel sorry for uighur the past few year for reeducation camp how can we feel sorry about that and not this japan have no compelling reason to take an official stance on this conflict,1.0,0
"japan dependence to arab oil have be particularly high in the last 2 decade 
",1.0,1
"good stay out of conflict which do nt involve you 
 canada could take a lesson from japan",0.0,0
japan get it right,0.0,-1
japan need that saudi oil   half the commercial on cnnj on any give day be pr spot for saudi arabia and other gulf state   the gulf state have a lot of power over the japanese economy israel do not,1.0,0
"I rather do nt understand why the west be so supportive of israel that land be originally palestinian land  
 israel be the cause of this situation  
 I think there be many citizen in the west who distrust israel  
 even if you watch the news in japan they criticize israel",1.0,1
this be probably because japan have nothing to do with christianity or islam,0.0,1
I m see the official and unofficial reason but still kind of surprising to see japan break from the pack on this one,0.0,1
good do nt stick nose into a conflict that concern you,0.0,1
eh whatever both of these group suck ass technically correct position I guess through inaction,0.0,1
fair they do nt have horse in this race they be quite silent about ukraine to begin with too,0.0,1
"israel be an illegal state illegally occupy and found by jews and the palestinians who be drive out and become refugee by the illegal occupation be the palestinian authority   
  
 the west be unconditionally defend israel because of its guilty history of persecute jews but this have nothing to do with japan or the rest of asia and the current situation be nothing but the result of crime commit by the west   
  
 the current situation be nothing but the result of the black history of the west   
 japans diplomacy which provide humanitarian aid only to the actual victim be the model for other asian country and be ethically and morally correct",1.0,1
as bad as japan be on human right I m not sure if japan be do this to prevent repercussion in term of oil or if they just do nt give a darn,0.0,-1
that s embarrass for japan they can try and justify however they want it will just come across as they be scared of do the right thing because of pressure from their oil supplier,0.0,0
this time japan stance really surprise I because japan have always be one of the close ally of the us but this time it be unexpected that they would make an independent stance away from the us and other western nation this be a very interesting case study and I wonder if it have anything to do with the geographic location of japan be in east asia and be far remove from the conflict or even moreso something to do with they be an east asian nation its also surprising that the other g7 nation did nt exert any pressure into make japan take a stance and respect their sovereignty,1.0,-1
"we also need a large country with a neutral position  
 if all g7 country support israel china and russia may move close to palestine",0.0,0
except its not a muslim and jewish tension but a struggle of colonized land palestine and palestinians against colonizer zionist,1.0,1
yes country have interest same reason why israel have be very quiet on ukraine,0.0,1
"I m not really follow current event because I have a lot of my own shit go on at the moment and I m not really smart enough to get the subtitle of international diplomatic anyway 

 but it seem sensible not to make promise that you ca nt follow through with 

 japan would have a hard time go to war with israel 

 I mean its not very likely but if israel suddenly say fuck you guy let fight a lot of other country be go to have a hard time justify go to war",0.0,0
japan also get a lot of gas as lng from malaysia and indonesia who support palestine since they be mostly muslim too,1.0,-1
saudi arabia be no ally of hamas so while religiously oppose to israel it still have a vested interest in the defeat of hamas hamas be an extension of the iranian islamic revolution which at its core be an antimonarchist movement and the iranians have try to interfere with the saudi monarchy in the past it be in saudi arabia interest to contain iran hamas and other organization like it like the muslim brotherhood since they pose a threat to their establishment,0.0,0
only qatar firmly support palestine,1.0,0
"1 there be never a land call palestine that belong to the palestinians 
 2 there be a continuous jewish presence from 3000 bc 
 3 there be no connection between palestinian resistance to occupation and the slaughter of woman and child",-1.0,0
"  I rather do nt understand why the west be so supportive of israel 

 their location and how they contrast with their neighbor 

 go back to the cold war ussr have an influence on the arab country many of which have undergo the islamic revolution and have be unstable and hostile ever since while isreal be the only nonarab sovereign nation in the whole region 

 the us want to cut off the resource in africa in the event of a war isreal have a force that might be able to do that at least for a little while be not so influence by ussr and be situate right at the throat of africa 

 there s different force at play today more specifically country like iran be currently support radical islam while isreal remain 

 its no surprise that the west continue to support isreal in the fight against an orginization like hama 

 its also no surprise that isreal treatment of palestinians have cause tension with the west as of late",1.0,0
karma be currently do a great job destroy those who engage in genocide and war crime against israel two week ago,-1.0,1
"hamas should have think about karma before attack 

 now israel be at war path",-1.0,1
I hope karma do nt take its course this time I would hate to see japan suffer from what supporter of terrorism deserve,-1.0,0
they did nt do it in support of hamas or something,0.0,-1
the war have no connection to japan and when both side be murderer why pledge support unless you can define murderer with less blood on hand be well,0.0,0
"do you consider modernday europeans ruthless killer and slavedriver 

 people can change wwii be truly the height of human cruelty and devastation",0.0,0
I mean israel be commit numerous war crime against palestinian civilian would look really bad on japanese government since people there would nt like that and old people be the main voting force there,1.0,1
"because if japan have to pay even more for oil due to upsetting saudi arabia then japan will be force to sell trillion of we tbill to support their currency to handle the even high fuel cost that would be extremely bad for the us 

 the us know japan be hang on and getting fuck right now with currency devaluation but take it for the team that s why they be not go to do anything",1.0,1
japan statement on the conflict be pretty neutral imo so it would nt be too inflammatory to we,0.0,0
"very well put while so many country seem to not want to go to war themselves they be do proxy war by send money and gun to the country which be bore 

 essentially just as bad as go to war if you give someone a gun and they use that gun to kill other people your responsible for it 

 so I m glad japan be nt getting involve",0.0,1
also more importantly none of the hostage be japanese,1.0,1
not all muslim country care that much about the fate of palestine lot of arabic and islamic country have sign normalisation treaty with israel by now sure the voice of the people be propalestine but the government action be not,-1.0,-1
be relatively neutral just shove the usual peace above everything statement that we have be play since hamas win election,0.0,0
its the expression of support for israel that japan see as be too risky for its own interest,1.0,1
none of that be fact yet you say it like it be,0.0,0
they postpone that sign specifically because of the dire condition in gaza due to the israeli response   in any case I have nothing to do with the japanese government policy,0.0,0
"even if you look at it dispassionately israel current act of retaliation be over the top  
 there be no doubt that it be a war crime  
 I do nt support hama but attack innocent palestinians and resident of gaza be wrong  
 these people be ruthless as if they have no feeling",1.0,1
"1 there be never a land call israel that belong to jews 
 2 there be a continuous muslim presence 
 3 there be no connection between israel defend itself and bomb child and woman",1.0,1
state of israel the jewish community,-1.0,1
"that land be palestinian land  
 the land should be return israelis should move elsewhere",1.0,0
karma be the name popularize by buddhismhinduism but the concept exist otherwise its a bit different here because the punishment do nt require reincarnation it just come late,0.0,0
lol genocide you really think hamas have the capacity to do that to israel one of the most armed to the tooth nation on earth go drink some sewage already,-1.0,0
yeah israel be just a few more week away from their go ahead and call it even declaration if only they have wait a little long,0.0,1
"well we will see but I highly doubt its on your side I mean steal someone else land by force oppress they then kill many of they when they resist I have some bad news for you but I wo nt ruin the surprise 

 I think deep down maybe not even that deep israel know very well that its existence be doom soon or later that s why they act in such an aggressive way israel need to be maintain in order to exist its existence be not natural billion of dollar have to be spend to keep it alive",1.0,1
"so you try to force japan to take a side you blood thirsty demon japan already know a thing or two about be pull into war already not surprising they be take a pacifist route 

 you think japan will be punish for neutrality be the reason I m start to see people like you as evil 

 true karma would be punish you and your family for try to force I to fight your own fight like a coward",0.0,-1
"  how be it that the us which have always have a strong influence over japan since wwii allow japan to remain neutral on this matter 

 they may have a strong influence but the us will respect japan sovereignty if they do nt have a vested interest in the fight 

 specifically no japanese citizen be be hold hostage in palestine by hamas and to my knowledge japan have be rather neutral to the whole region this be not the case for the other g7 country 

 what good would it be to drag an ally into a small proxy war that they do nt want to be in all it would do be sour relation with japan",0.0,-1
even more so japan must not let the palestinian diplomatic channel be cut off,1.0,0
speak of china their relationship with israel be the pure textbook example of realpolitik ngl,0.0,1
israel actually relatively supportive of ukraine their outrage be simply more delay compare to the rest of the mostly western world,0.0,0
damn right people need to get off their high horse and face reality,0.0,0
yeah they find out the hard way what happen when they piss off their oil supplier once I do nt think they ll do that again,0.0,0
"its not just business interest the west have for decade now feel responsible for the jewish genocide partly because a lot of they do refuse jewish refuge before and during ww2 to the point that they be willing to look the other way for a lot of shit israel do kind of the consequence of conflate anti israel with anti semitism 

 the anti semitism may be frown upon now in the west but they be pretty prevailing before ww2 ironically the place that be most acceptance of jews until then be the muslim world",0.0,0
"war crime like massacre innocent civilian at a music festival slaughter elderly people and behead baby rape woman and kidnap people  

 oh wait no that be palestine",-1.0,0
as someone live in japan with a stagnant salary it feel like many people here be near the edge of a financial cliff hope we can all make it through,0.0,0
"they would if they could I m fine with eradicate a group that advocate genocide its just impossible to do without hurt innocent if you have any idea of how to eradicate hama without hurt the innocent people of gaz i d sure love to hear it  
 oh and if I hear give back the land and let jews be wipe out like I hear every single time I enter these discussion to the bottom of this ill know where you stand",-1.0,0
"the idea of steal land be ridiculous no one have a right to any land they be nt bear in or the sovereign of that land did nt give they you ca nt just walk into a country and say I deserve a house an israeli bear in israel have more right to that land than a palestinian who be bear anywhere else   
 also israel have be win every war it be part of since its inception arab just do nt learn there be 20 arabmuslim country none of which be democratic none of which be educate none of which be liberal all of which be authoritative theocratic fail state with no human right   
 you say israel be not natural  
 gaza be keep on life support by the eu and we money there be zero economy in gaza everybody in gaza be on welfare no factory no tourism no industry no service no technology no academic nothing and you say that israel have to be maintain by money people in gaza produce nothing have never produce anything and rely completely on foreign aid include from israel they be give free electricity free water and free medical treatment by israel and yet they be ungrateful  
 gaza have one of the bad literacy percentage in the world some of the bad human right violation by hamas some of the less free press and one of the low average iqs in the world   


 check yourself mate",-1.0,0
"individual may care but politically there s no point getting involve at all the whole israel vs palestine situation be already messy as fuck because of decade of historical shit why make it even more complicated that s how regional conflict turn global totally dumbass move to get involve 

 also politician be politick do nt seem surprising to I",0.0,1
japan themselves also do a very good job in protect jews in ww2 despite everything they do,-1.0,1
"that be hamas you ignoramus not palestinians israel kill even more though be kill and take their home for the last 75 year 
 lol he block I cause he have 0 argument average nazi supporter",1.0,0
"besides what other commenter mention it be worth point out that there be still no evidence of hamas behead baby and multiple news source have retract this statement 

 there be however a wealth of eyewitness video and testimony out of palestine of dead orphan or permanently disabled child",1.0,0
no its not   saudi arabia ca nt just increase the price of oil for japan   there s a global market for oil and it arrive via boat   japan could easily change supplier if they need to   a lesson saudi arabia specifically learn when they try to punish geopolitical foe in the past   the gulf state could push price higher globally but their ability to punish one nation be limit,0.0,1
"I live in japan of my wife and thing be great do nt be afraid of the stigma against japanese work culture you just have to find the right job and put your foot down in regard to overtime 

 be able to play the foreigner card be very helpful",0.0,0
"ffs even the bible talk about philistines philistines palestine its not hard to make the connection there 

 the point about selfdefence be it do nt allow you to act carte blanche your action need to be reasonably proportionate 

 in any event what be israel plan for the palestinians keep they lock up until the whole region become uninhabitable",1.0,0
defend be try to neutralise an attack if you end up kill a lot more people than the other side and conquer more and more land you be no long defend   you have become the aggressor,1.0,0
"palestinians be genetically the close to the canaanite population who live there before the jews 

 mean they be just convert native who speak arabic 

 they be just arabise",1.0,1
a small correction if you ask I who be bad israel or palestine the correct answer be the british the middle east be in shamble because the british destroy the ottoman empire in world war I,0.0,1
you unload so much crap replying to you would be a full time job the thing be if you have grow to accumulate such a deformed and wrong worldview I do nt think I can help you or anyone else for that matter keep on,0.0,0
except all those gazan and west benk palestinian actually have palestinian passport unlke israel who s chockfull of 2 passport holder,1.0,0
"israels action go beyond selfdefense it be just retaliation if we be a democratic nation we must restrain it as a nation  
 I think more and more people in the west be also say no to israels action attack innocent people be a war crime  
 since they kill we too be we go to do it back be we go to murder innocent people it must stop",1.0,1
"incorrect defending be take action to stop an attack in progress or disarm a future or current threat if someone point a gun at you you do nt have to wait until they fire you to shoot they first  


 destroy rocket launcher ammunition bunker and headquarter building of a terrorist organization that vow to destroy you be quintessentially an act of self defense   


 as for anyone hurt in these strike it be a tragedy but the blame be on whoever put they there not on the one defend themselves   


 a state have an obligation and a moral right to defend its citizen even at the expense of the citizen of a country it be at war with yes even if they be seemingly innocent   


 if it be your house the rocket be aim at you would be okay with civilian die if it mean protect your family  


 also israel consistently take measure to minimize civilian casualty that no other army in the world ever take",0.0,0
"fine but that s ancient history you might as well blame the byzantine empire or napoleon do nt make any difference    
 as for an argument towards find a solution its worthless  


 fact of the matter be there be a country of 9 million people call israel with its own unique culture language and institution the people who just start call themselves palestinians in 1967 can live side by side with israel if they just get their sht together and stop with the terrorism and fundamentalism",0.0,0
I appreciate the effort you take by go back in my post history but maybe you should go the extra mile and check what hamas official goal be spoiler alert its genocide btw I never defend any of israel action against the palestinian people or say I be surprised by they,-1.0,1
"by your answer I can tell you know you have nothing to say   
 but be emotional do nt make you right   


 you can fact check everything I say but you wo nt cause you d rather be ignorant than know you be wrong",0.0,0
the discrimination against jews in germany start way before ww2 and nobody be interested in it until the invasion have start I see a shocking docu of normal german man shoot people in poland pregant woman and child that be at a time poland be and I quote pacify by the nazi,0.0,-1
"  hamas be the democratically elect leadership of palestine be support by 90 of palestinians and have it state in their charter that their goal be to kill every last jew on earth 

 hamas be democratically elect but that be in 2006 before most people in gaza today could vote and before many be even alive and even then most people who vote for hama disagree with their stance on israel 

 a 2006 exit poll from that election find that threequarter of palestinian voter want hama to change its stance on israel and around 80 percent support a peace agreement source below just make more sense to address point in this order 

 support for hamas be drive more by fear and lack of alternative than anything else the actual datum and that article be rabidly proisrael so you ca nt argue on that point show that 


 60 percent support hamas maintain a ceasefire with israel and 50 percent say hamas should stop call for israel destruction and support a twostate solution instead 

 77 percent of gazan want new legislative and presidential election in the palestinian territory but 67 percent of all palestinians do nt see that happen anytime soon 

 in a hypothetical election hamas would win slightly over fatah 34 to 31 percent but a 43 percent plurality of palestinians believe neither group deserve to represent they 

 73 percent say they believe there be corruption in hamasrun institution in the gaza strip and 59 percent of gazan say they could not criticize hamas authority without fear",-1.0,-1
"puerto vallarta be nice I even love go there for vacation but its not exempt from crime there may not be shooting like in guadalajara where I think 4 cartel be fight the control of the city would be nice if there be none control shit but oh well but a lot of crime go unreported and the police be collude with the cartel either way its not as bad as some other big city 

 I m not sure about jalisco but in general a lot of mexican state struggle with water in some place home usually only get water every so many day and have to have water deposit even in my home city in the north I have a 1000 liter water deposit so I could make it without water for a few day 

 by the way I m amazed to hear about crime be bad in canada I always see it as one of the safe place to live on the continent",0.0,-1
"they be remove terrorist from power hamas have take the gaza strip hostage for the past 20 year israel be eradicate hama but hama be use human shield like hospital and will continue to do this if they be leave untouched it will stop when hama be eradicate and the gazan people can finally be free from hamas 

 blame those death entirely on hama",-1.0,-1
"my point be israel want to set up an apartheidtype ethnostate because of some 3000year old book when even that book show that they be nt the only people live there 3000 year ago 

 re selfdefence crack a book even wikipedia you might learn something 

 on the last point I understand israel need to get rid of hamas but their strategy be bear of rage not logic the only people leave behind be go to be the old the crippled and maybe a few suicide bomber the very definition of expendable nobody senior from hamas be go to stay",1.0,0
"you do understand you can make the exact same argument from the palestinian point of view right 

 you know the current living condition in gaza the need to take action against an agressor who keep people lock up in an open air prison the past war in gaza etc   I m sure they be happy to also put the blame for israelian casualty with the israelian aggression   preemptive attack a perfect way to construct a spiral of violence 

 if you know there be go to be innocent casualty and you go ahead with it anyway its an equally conscious   decision to kill they   the hard fact do not lie palestinian living condition number of casualty and territory lose clearly point at israel be the aggressor",-1.0,0
"every single thing you say be wrong or twist every single thing from your analogy to your evaluation of israel and its neighbour and the stat on gaza which be a prison and not a country its impossible to be this wrong unless you be emotionally invest and severely biased that s why I ca nt help you and why discuss with you be a waste of time 

 dismiss",1.0,1
"zionism as I understand it be the idea that the jewish people deserve a homeland in the area now call israel and I m all for it   
 just like I would be for it if the japanese people want a homeland in the area now call japan   
 but to be honest it do nt even matter because there be a state call israel and there be people who call it their home btw not only jews but also muslim druze bahai christians and other group any historic narrative be meaningless since there be an ongoing narrative of people who be bear there   


 also anyone call israel an ethnostate be willfully ignorant jews be not an ethnic grope there be european jews arabian jews african jews an asian jew",-1.0,0
"israel grant equal right to its population of jews christians muslim druze bahai and other religious group anyone can vote and run for office everyone enjoy freedom of movement and freedom of religion as well as the right not to be discriminate against for their religion ethnicity or gender as it be state in the israeli declaration of independence this be true for the israeli arab who be for all intent and purpose palestinians just under a different passport   
  
 people who be not israeli citizen eg palestinians citizen of palestine can not enter the country or move freely within it without proper document and authorization from the official port of entry this be what people wrongfully point to when they talk about israel be an apartheid state but this be also true for every other country on earth try walk into japan without authorization   
  
 what you be ask for would be like if mexico demand texas open its border and grant immediate citizenship to any mexican crossing into it because until 1836 texas be part of mexico insane",-1.0,0
"that s enough no one have any obligation to any historic justice from before they be bear you do nt go to prison for a crime your father commit   


 otherwise it time be a factor we can just wait it out and israel will have all the legitimacy of argentina or new zealand",-1.0,0
"I do nt think palestinians be oppress because jews hate they   I do nt think the religion be really a factor and if role be reverse palestinians get support from the west have superior economy and military jews would be back into an open air prison and bomb right now 

 if I have my foot on your neck and I release you may very well become the killer   and if I push my foot down I become the killer   its a war   and the strong kill and oppress more people take more land   that s israel 

 its not a matter of which culture have justice or ethic on their side   be all the same brutal specie in the end   but because israel be strong it be win   its killing more take more land oppress more people   it have the power to enforce a for example 5050 divide of the land stop settler of take more and more   but that wo nt happen because they be win  

 yes I do think israel be generally the aggressor   not because they be bad people but because of the circumstance   that do nt make they less aggressor tho 

 do I have a real solution   no   normally this end by the stongest push everybody into submission mass migration   or genocide   its why people speak spanish in south america",-1.0,0
"settlement be wrong but israel have repeatedly give up land for peace in 1977 with egypt israel request that egypt take the gaza strip egypt refuse israel withdraw from most of the west bank in 1995 and from all of gaza in 2005 even netanyahu sign the wye river memorandum in 1998 give palestinians land to selfgovern israel offer to withdraw from all palestinian territory in at least two other occasion 2000 and 2008 the palestinians refuse  


 what I see the world start to realize be that hamas be just like isis and alqaeda and that palestinians be a terroristsupporting culture like iran and afghanistan the protest around europe call to kill jews and not condemn the horrible thing hamas have do be begin to wake europe up to the inevitable clash of civilization with the muslim world   


 thank god japan do not allow massive muslim immigration into the country   
 the world be now realize what a horrible ideology fundamental islam be  


 do you know that israel offer the palestinians to swap land so that settler will remain in their house and in exchange israeli arab who call themselves 1948 palestinians and their land will be part of palestine   
 do you know what happened the israeli arabs refuse they prefer to live under zionist law rather than subjugate themselves to another fail muslim dictatorship and I bet you would choose the same   


 not a single arab or muslim country be a develop country not a single one have a successful economy human right free press or democracy not a single one",-1.0,0
"I do nt want to get into internal israeli politic but the likud party have absolutely no real position on anything netanyahu be a flash of the pan and everything around he be center towards keep he in office   


 when you want to know what someone really believe do nt listen to what they say look at what they actually do   
 israel have repeatedly give up land for peace in 1977 with egypt israel request that egypt take the gaza strip egypt refuse israel withdraw from most of the west bank in 1995 and from all of gaza in 2005 even netanyahu sign the wye river memorandum in 1998 give palestinians land to selfgovern israel offer to withdraw from all palestinian territory in at least two other occasion 2000 and 2008 the palestinians refuse 

 there be no reason to believe that the settlement wo nt be evict as they be in gaza gush katif sinai and the west bank if a real offer for peace be propose the problem be that the palestinian people do not have any leadership that speak for they and that be interested in peace  


 mind you that the people who call themselves palestinians only start to identify as a separate and unified people around 1967 before that they be different tribe indistinguishable from jordanian or egyptians the palestinian people be now in its angry teenage year and still do nt have a cohesive cultural identity sociologically speak   


 so all israel can do at the moment be stabilize the situation until the palestinian people mature enough as a people to have a leadership they can get behind that actually want to build a sustainable future alongside israel",0.0,0
"ill agree with you on this the current government of israel be full of radical right wing extremist that have rob the israeli people of the chance to discuss a long term solution to the conflict but  


   the israeli public have be protest for month against netanyahus current government and for the past decade against his former government netanyahu do not even represent half of the israeli public but he manage to abuse the parliamentary system that israel inherit from the british and be unfit for israeli society something like donald trump lose the popular vote by 3 million vote yet still be elect into office netanyahu have fail to secure a government in 4 out of the last 5 election and have only succeed by unite with these extremist who be a very small minority in israel and only because the leftleane coalition against netanyahu have fragment into multiple small piece that do not even get a single parliamentary seat   
 also if you research bengvir the most extremist of netanyahus government his ticket to office have nothing to do with the palestinians and everything to do with the rise crime in southern israel  
 what I mean by that be that netanyahu be a flash of the pan and lead a minority government and his day in office be probably over in recent pole the likud party be down to 19 seat from its former 32 seat the rest of his right wing coalition have also go down between 3050   accord to the most recent pole   
 the protest against netanyahu have a lot to do with the stagnation of the peace process if you look at any image from the protest you will see peace activist and palestinian flag but they be mostly about corruption and judiciary reform   


  all this and more and it do nt even begin to compare to palestinians elect and support hamas not even close what happen on october 7th woman and child slaughter in their home family burn alive woman rape elderly people kidnap people shoot in point blank execute in front of their family dog shoot body mutilate this be the kind of evil that only islam can create on a large scale if israel want to kill palestinians it would have do so easily probably within a year instead the palestinian population have triple in size in the last 50 year hamas openly support the atrocity and the palestinians who support hama know this very well no one be try to hide this do nt even try to both side this   


  colonialism be a misused word that ignorant people use when they want to play the victim card every country be colonial include palestine and at the same time no country be colonial its just an arbitrary code word for left lean antiwestern idea",1.0,1
japanese government charge its citizen to fly out of isreal and it be nt even for all a full trip home but only to soudi arabia,1.0,1
yeah sometimes the jpn government just suck I mean what be they think by ask for 30000yen while your people be in danger of getting kill in a foreign war,0.0,1
the israelpalestine conflict be a perfect example of why continue to harbor hate only generate more hatred and more war,0.0,1
