comments,manual_labels,gpt_labels
"this need to stop stop bring in blatant terrorism supporter parade in canadian street 

 I mean this be as bad as protest support the taliban 
 muslim be essentially show the world how primitive their thinking be in discern such political issue its just black and white with no nuance 

 you realize hamas just massacre 1300 jews amongst the large anti semetic event since ww2 the optic be bad 

 good thing I leave this horribly petty faith nd do nt associate with canadian muslim 

 do you hear the muslim association of canada be funnel donation money to hamas good game guy",-1,0
no one condemn hamas,0,1
"yes end of violence be good 

 be any of they call for surrender of hamas and release of the hostage",-1,-1
we keep see party base on islam fundamentalism get vote in and then all hell break loose and they do some jihad stuff and everyone call the people who vote for they victim they be only victim of themselves,0,-1
the fact people felt empower enough to show up here with taliban flag have people block out camera run a screen play for they and be not immediately pull put of that truck and beat say all that need to be say hamas be isis,-1,0
idk over the year I have lose any and all sympathy for palestinians and the arabmuslim world at large fool I once and all that enough be enough I be not a huge fan of israel but in this scenario more power to they,-1,1
israel be kill civilian by the hundred now 2 wrong do nt make a right but you be not drive sympathy to your cause when you be wave the flag of extremist like the taliban,1,1
the terrorist should nt have start something that they ca nt finish its hard to imagine the amount of support that they have here in canada what would be nice be for all of these supporter be expose maybe just maybe they be employer might take action as a consumer I would like to know if a business I frequent employ terror supporter,-1,0
how about the end of violence by the people of gaza I think then israel would have no reason to deal with the situation,-1,-1
they should all go back and have demonstration in israel or palestine,0,0
"march against murder of civilian and all people here can do be pretend every palestinian be a member of hammas ignore the fact that palestinians be a severely repress people and justify israeli war crime and collective punishment its disgusting I can denounce war crime without support hamma and I can denounce israeli imperialism and ethnic cleansing without be antisemetic 

 imagine a french base terrorist group attack israel logistic aside how would the world respond if israel could and do shut of food and water and electricity to all of paris drop 6000 bomb on paris tell half of paris to move to the other half of paris in a day and murder thousand of parisian far more than the initial attack 

 the answer be of course that the world would be up in arm disgust and condemn israeli action 

 but when the civilian be brown it seem we have all lose our humanity",1,-1
why do nt these marche ask hama to surrender consider the fact that they start this crap last weekend,0,0
israel should have give more time for people to evacuate but the assault need to happen,-1,-1
"the big step toward end such violence lie in dismantle these stronghold for islamist terrorist 

 no nation on earth can have any sort of long term peace where such group like al qaeda hamas hezbollah al shabaab isis etc exist",0,-1
"we use to have a game when I be a kid the idea of which be to kick each other in the nut until someone say I give up you win   


 hamas be someone who give the first kick and say ok you win and the rest of the world be get mad that israel wo nt agree to a ceasefire",-1,0
why be nt their bank account get frozen,-1,1
so you hate jews then,-1,-1
"  stopgazagenocide  
 make it trend on social medium  
 do not let the world watch this carnage in cowardly silence call on your leader to 1 publicly condemn it 2 demand an immediate ceasefire and 3 send emergency food and medical aid to the people of gaza",1,0
this comment section and subreddit be full of idf bot lol,1,1
might want to add these to the terrorsit watch list immediately,-1,-1
"the easy way be for the people in gaza to rebel against hamas and hand over the terrorist to israeli force 

 then no siege and everyone win except hama 

 but everyone already know where loyalty of most ppl in gaza lie",-1,0
freedom of speech be what be great for everyone,0,0
I m sure they ll definitely stop because we say so   idiot,0,0
what be they expect to happen they will look at this march and go yeah they get we we give up like what be I be ignorant I just do nt see what good its do anyone and what they be expect the outcome of it to be,0,1
I m pro hamas,1,-1
it would have be nice to see these same people a week ago march against violence in israel,-1,0
holy shit canada be dead these people be lie antisemite and there be thousand of they this be definitely not the canada I grow up in,-1,0
"get ta ask if anyone else feel the way I do about this 

 I just do nt fucking care anymore the whole israelpalestine conflict have be go off and on long than most of we here have be alive and we have big enough problem in this country to deal with so why the hell should we waste any more time and effort on people halfway around the world who be never go to change",0,0
terrorism supporter,-1,1
good for those people who be try to get the taliban supporter to leave,0,0
lmao,0,1
so how many taliban sympathizer be their in canada now   I be amazed there be any to be honest all these woman walk around on their own must drive they nut,0,1
"so they tell they to leave that s literally all you got ta do when someone show up to your rally with a terrorist flag if you do nt want to be associate 

 take note convoy people",0,1
so that mean they be all taliban right,-1,0
"that s what you get for not bring enough for the entire class 

 cmon we learn this at age six",0,0
so you be imply that they be all terrorist now,1,0
but but those nazi be nt with we,0,0
they should be identify and deport fuck those guy,-1,0
no idea who they be either could have be any random people try to subvert the march,0,0
this be the absolute correct response if somome show up with a nazi flag and be nt ask to leave you at a nazi rally,0,0
its one truck with 2 dude they seem peaceful and other be tell they to put it away,0,0
peace in the gta,0,0
weirdly former mayor hazel mccallion be always fairly propalestine despite be conservative on basically every other issue,0,1
its not like mississauga be itself occupy territory or anything,0,0
lmao I do nt know why municipal politician even wade into foreign matter aside from try to get sympathy point,0,0
"well because this be become canadas problem much the same as how canada be now getting drag into indias problem that s the mosaic identity that canada have boast about for forever 

 hamas be not a terrorist group a woman in mississauga a city in a country that have designate hama as a terrorist group repeat three time while wear ak47 earring everything they do be justify every single thing they have do be justify she say 



 to people like her everything be justify because israel be a settlercolonial state that need to be decolonize I guess its a good thing she s in a country that be nt consider by a grow number of people to be one of these socalled settlercolonial state oh wait 



 these event serve as a reminder that resistance against colonial violence be justify and necessary this be decolonization and landback actualize as we continue to see the palestinian people stand firm in their resistance against their oppressor 

 settlercolonial state like socalle canada and their institution continue to legitimize their existence and those of other settlercolonial state make they complicit in the ongoing genocide 

 the same argument from people at a canadian institution in socalled canada 

 this event have put a spotlight on something that need to be take more seriously in canada and other country",1,0
that s rcanada for you lol lot of nationalism and xenophobia on this sub,1,1
always be that rcanada bay beee,0,1
"I agree 

 irrespective of all the whataboutism above in this thread would nt the absolute fast way to deescalate this situation be release just 137 people hama claim 13 already die to ensure the 2300000 people of gaza get vital food water medicine and aid   the fact they have nt release even a small subset of they yet like the child speak volume 

 israel have call hamas bluff on execute the hostage and I m guess they have no plan whatsoever at this point except to let their people die",1,1
ya for all israel fault hamas have put they in a really bad situation here there just be nt any good option,0,1
ah yes the only way for israel to stop commit war crime against civilian be if an undemocratic terrorist group perform a certain action that kind of black and white thinking be just a thinly veil excuse for israeli war crime,1,1
basically its always the poor civilian who be just try to live their life catch in the crosshair,0,1
"who be we 

 we be so far remove over here from what s actually happen that these rally and online comment amount to thought and prayer",0,0
"where have I hear this before 

 ukraine should make concession so there can be peace 

 britain should negotiate with hitler so we can have peace 

 lincoln should negotiate with the confederacy so we can have peace 

 I do nt want to live in a world where might make right let any act of aggression like this have only embolden terrible people its just lead to more war",1,0
"and what that result in israel give back all the land they have encroach upon forcefully under the guise of settlement 



 fuck off with this shit this be not a one sided affair",1,1
but first let urge israel to stop their land theft and the persecution and murdering of palestinians and urge americans to stop send money from finance building wall and military and urge the american government to stop send military aid and then give all the land back to the family whose home and farmland be steal unconditionally,1,-1
you ca nt surrender to revenge and retribution this be why everyone call for more violence have a garbage take,0,-1
"well its not like israel can sit idly by while hamas continue attack torture hostage and launch rocket 

 its sad that they plan to use civilian and children as shield to try and get enough scrutiny against israel that outside pressure force a ceasefire but that s not a good ending either",-1,0
"many palestinians support hamas so many in fact that 

 the finding of the first quarter of 2023 indicate that the internal factional balance of power remain unchanged with parity between fatah and hamas if new parliamentary election be to take place today and a majority vote for hamas candidate ismail haniyyeh over mahmud abba in presidential election 

 source   palestinian center for policy and survey research",0,1
funny zionist never protest against israeli atrocity,1,1
because our government ca nt pressure hamas but they can take a stance against israel and uss unconditional support,1,0
bit like how pro israel folk never protest against idf war crime or israeli apartheid,1,-1
funny how they never protest against apartheid and 50 year of occupation,1,1
funny how people equate hama with civilian palestinians who have nothing to do with any of this,1,-1
what would the point be even if they somehow manage to replace hamas gaza would still be under a blockade and palestine would still be subject to occupation,1,1
funny how you never march either,0,1
"end the cycle of violence now that all the jew kill we can get away with for the time be be complete 

 friendly reminder that the number of palestinians kill by idf strike on gaza this week if somehow hama have be able to avoid slaughter over twelve hundred innocent man woman and child would have be zero 

 we be now see credible report that hamas be prevent palestinian civilian from go to south gaza as always because they wish to maximize civilian casualty for propaganda purpose",1,1
funny how they never protest against the mass starvation of palestinian civilian,1,1
"I would love to see you apply the same logic to israel  
 
  even when idf be snipe unarmed child and be proud about it even brag about their precision and how they know where every bullet go motherfucker like you would immediately scream condemn hamas to anyone talk about it   lookup the march of return of 2018 for a great example of unarmed child pregnant woman journalist and medic getting snipe even during those event the first thing every brown people get ask when they be interview about it be do you condemn hamas action no one ever ask the israel side if they condemn the snipping of unarmed child",1,-1
"because hamas have nt drop 6000 bomb include illegal phosphorous bomb on a civilian population with water and electricity cut off 

 and to make it totally clear because people like you like to push a red heron narrative the protest be in support of palestinians go through a genocide at the hand of israel not for hama",1,1
you know the israeli military have be arrest minor for no reason and israel have wayyyyyyyy more hostage than hama,1,1
"I can almost guarantee that the rally themselves be not pro terrorism and the media be just on its typical outrage cycle if there be people out there actually chant in support of terrorism or be antisemitic you know they d have the video everywhere 

 I say this in part because year ago I pop by a palestine rally I live in ottawa and walk by a lot of protest I walk through the convoy too to see what be up even though I disagree and there be a bunch of orthodox jewish people the speaker call jewish people their brother and sister and say that israelis be not the enemy and that be as bomb fall on gaza so I do nt see what would be different now other than the clickbait outrage stuff be even more of an issue in the medium 

 it go both way too I never meet an israeli in real life who would nt be shock and sicken by some of the thing their self appoint ally say in support you think the average israeli be go to feel good see random canadian say that their government should kill 3 million people indiscriminately these be all people most of they probably do nt like violence or war as much as the media want this conflict to define both side act like israelis support the action of the idf uncritically and act like all gazan support hama kill civilian be armchair af and its interesting that a lot of people do both",1,0
palestinian rally hold here be almost never pro hamas I m not say they ca nt happen but I have never personally see it they be usually in solidarity for the people of palestine ask for an end to israeli hostility and occupation protestor just want the same freedom and right for palestinians as israel have,1,0
I mean this headline be pretty clear dude,0,1
I would never understand why a woman would defend a muslim terrorist group especially after she have experience the right and freedom as a woman in a country like canada,-1,0
I m conservative and many year ago I have to stop watch any of their content at the beginning there be some good host if I want to have a canadian parody of biased american conservative commentary it would be hard not to plagiarize rebel medium,0,-1
do they call they out and ask they to leave,0,-1
funny also because the guy with the nazi flag at the convoy protest be an arab he be arrest,-1,0
logic be a construct of the patriarchal colonizer world view and must be abolish   or something,0,1
so uh be we just go to ignore thst the palestinian protester force those taliban supporter to leave,0,1
again why would you condemn thousand of people for the act of one or two people they be ask to leave,0,0
no there wo nt what a thing to say do you not understand how colonialism and occupation work the people of a palestine be not under occupation because of hamas isreal hold power to end the occupation,1,0
that s why they be do it we know how that end now,0,1
it would be too late to protest after the us nuke they,0,1
no hamas did nt start this conflict the violence start like 75 year ago mate hama did nt even exist back thenthis conflict be not new its the result of decade of occupation that have be go on till today,1,0
because last week they be cheer for the death of over a thousand innocent life fuck these people they want all jews dead they change the message do nt change what their message be last week this be the expect response from isreal everyone in the entire world would expect isreal to retailiate after a terrorist attack we do nt like it tough shit they either put an end to it now or die later that s the choice they have palestinians elect these fuck its the will of the people this be what the people choose this be what they get,-1,0
"or poverty they always bring up poverty 

 they clearly forget osama bin laden be bear with a golden spoon",0,0
why be you not blame israel for create hama,1,0
because gaza be an occupied   territory the onus should never be on the oppress to end violence isreal hold all the power in this situation,1,-1
"it honestly feel a bit like after 911 where something undeniably horrible and tragic happen then everyone go absolutely bonker in response and before we know it an unrelated country be in ruin and our privacy right disappear forever people be act like that with all the casual talk of annhialate gaza and deport canadian citizen for wrongthink and thinkpiece about outlaw protest 

 I guess its a break from argue about pronoun",1,0
pretty much everyone condemn hamas feel free to start a protest,0,0
do you protest for what you believe in or what you do nt believe in this be why there be no specific protest against hamas protest be about what you believe in and nobody support hamas here,0,0
"those radical rise to power in 2005 through an election but you have to understand the situation of people vote and what option they have during the election if any at all 

 2005 that s 18 eighteen year ago 

 currently 50 fifty percent mean half the population of gaza be under 18 year old   you think this half of gazan human ask to be rule by this group in this time and age they all have social medium and do see the world outside their prison or have much of a choice 

 they grow up in a blockade and be now be bombard   logically speak if I be in the shoe of any young gazan and see the world silent or even supportive of my own genocide I might just start believe those radical rule over I this be why we need to fight back look how they treat you no 

 its a sad situation   what a shame that we have become desensitize by medium to this degree 

 pray for peace",1,1
"the last election be 20 year ago and half the population be under 20 

 at least try and educate yourself",0,1
the people who wave that flag be ask to leave though,0,0
instead they be try to do it by label anyone who do nt cheer on their genocide as anti semetic,1,0
how about the end of violence in the west bank by israeli settler where there be no hamas they be shoot palestinians on the street,1,0
"  violence by the people of gaza 

 half the people of gaza be child and the vast majority of they do not commit the atrocity for which they be now be collectively punish",1,0
"of course israel do nt want to deal with the situation 

 the palestinians in gaza strip be refugee and their descendant that flee or be force from their home by zionist in 1948 their property be confiscate and they be nt allow to return 

 they have live in gaza strip refugee camp for generation since israel be perfectly happy they stay there till the end of time 

 most people in the gaza strip be descendant of refugee who flee or be expel from the area that become israel after the 1948 arabisraeli war 



 in 1948 more than 700000 palestinian arab   about half of prewar palestine arab population   flee from their home or be expel by zionist militia 

 between 400 and 600 palestinian village be destroy village well be poison in a biological warfare programme and property be loot to prevent palestinian refugee from return and other site subject to hebraization of palestinian place name 

 later a series of law pass by the first israeli government prevent arab who have leave from return to their home or claim their property they and many of their descendant remain refugee the expulsion of the palestinians have since be describe by some historian as ethnic cleansing while other dispute this charge nevertheless the existence of the socalled law of return allow for immigration and naturalization of any jewish person and their family to israel while a palestinian right of return have be deny have be cite as an evidence for the charge of apartheid against the state of israel 



 I kinda ca nt get over the poison well",1,0
tell I you do nt understand the israeli palestinian conflict without tell I you do nt understand the israeli palestinian conflict,0,0
yup israel need hama,1,1
yeah no last week they be cheer for the murder rape and abduction of hundred of people hamasaki be the will of the people its there elect representative that just decide to go to war by conduct terrorist attack of course isreal go to retaliate and only an idiot would think they would nt fuck a lot of shit up they warn the people as well hamas tell the people to stay so they can die and be use as propaganda no other middle eastern country want these people because they be simply just not nice people on a collective level its be generation like this,-1,-1
"I can denounce war crime without support hamma 

 but why do nt people at these protest ever denounce hama",-1,0
israel be nt remove terrorist they be indiscriminately kill civilian and apply collective punishment to all of palestine both war crime,1,-1
be you seriously ask why they be nt support the state that be bomb palestinian woman and child,1,-1
be nt it because israel have be terrorize palestine for 75 year that would be like ask the indigenous people of canada to protest in support of the government that carry out residential school,1,1
good point why be nt the civilian more open to work with the nation state that have turn off the electricitywater supply while continuously bomb they and the humanitarian aid group help they and kill international journalist that just want to tell the story of what s go on in gaza,0,1
read a book,0,0
the israel and palestine conflict did nt just start last weekend,0,0
do nt matter how much time they give they hama have be set up roadblock to prevent evacuation as well as force people at gunpoint back into building that will be bomb they be intentionally maximize their own civilian casualty,-1,-1
palestine be about half child tell I why they all need to die,1,1
"I mean they be bomb the people who be evacuate so it make no difference 



 their intention be clear and the rest of the world government be watch without a word",1,1
probably not the blockade to starve million of civilian right that s genocide be you defend that too,1,0
why do you think the assault need to happen,0,-1
oh look another this start last saturday take,0,-1
"imagine a french base terrorist group attack israel logistic aside how would the world respond if israel could and do shut of food and water and electricity to all of paris drop 6000 bomb on paris tell half of paris to move to the other half of paris in a day and murder thousand of parisian far more than the initial attack 

 the answer be of course that the world would be up in arm disgust and condemn israeli action 

 but when the civilian be brown it seem we have all lose our humanity",1,0
hamas be a terrorist group what make you think they can be hand over,-1,0
agree   this be the appropriate response when this sort show up,-1,1
how do we even have supporter of the taliban in our country,0,0
do you know how many 1945 nazi both the us and canada bring over know they be nazi because its a lot more than you think it be,0,0
let they figure it out   the fuck be canada suppose to do,0,0
"leave we out of it we have enough problem 

 yup",0,0
"I m ok with this to be fair though I m not really sure if either the israelis or the palestinians want our input as far as I can see they be pretty meh about what our government think 

 and I m sure in the new year the rentaprotester crowd will have something else to be up in arm about anyway and will lose interest",0,0
why stick your dick into a hornet nest,0,1
canada have nothing to offer anyway the us have state they support israel no matter what anything anyone else in nato have to say be irrelevant,0,0
canada should absolutely stay out of this,0,0
"I would support a peace process but I think for it to be viable we d need to see more support from the surround arab nation than we have see so far 

 any solution have to involve iran and egypt in my opinion",0,0
I do nt think we can afford to be involve in it,0,1
make sense see it have nothing to do with we,0,0
canada have be fairly neutral so far,0,0
"I for one stand with the ukraine 



 oh shit I m late be nt I",0,1
  the give a fuck level be bottom out we ca nt save the world,0,0
"someone start talk about israel 

 only safe response I have no stake in this",0,0
besides provide humanity aid there be no place for canada in this conflict,0,1
we get more important shit to worry about like our own country problem I do nt care about two religious faction fight each other I just want a well qol in the country I reside in human history be literally war over ideal value race religion and its not go to chance because some idiot hold up traffic on the road or piss off people just try to live their life and before the obvious protest be nt suppose to be convenient yea and you have a low chance of someone get aggressive with you if you do nt go out of your way to piss they off in the first place leave people the fuck alone we do nt give a shit,0,1
"let they figure it out 

 this also mean no financial support to israel either",0,-1
hamas be terrorist organization and netanyahus government be also genocidal in nature that explain a lot,0,1
the most neutral position I believe we can take be fuck hamas fuck netanyahu,0,1
it be always the vocal minority who drag we into politic we do nt want to involve,0,0
"pretty much this be why we especially the medium should nt give any attention to the protestor propalestine proisrael far leave movement far right movement etc a flame die with no oxygen let just focus on canadian problem interprovincial trade barrier special interest group overreachcorruption in politics housing   mortgage rate opioidhomeless issue prop up lesser develop first nation group healthy food strong economy etc 

 this do nt mean lets not help outside of canada either I m absolutory for give foreign aid to country not at war and help out less fortunate area but let just not get involve with external politic we can still collectively condemn clear bad guy that threaten global stability like putinkim jong un but israel   palestine be way too complicated for canada to be involve",0,0
I have a theory that if if I put free palestine in a comment the bot will home in on it,1,1
I suspect most canadian see hamas and the state of israel as guilty of atrocity be repel by both and side with the civilian jewish and muslim who be suffer we want an end to the violence justice for all the victim and we want our government to help find a way to a reasonable for all peace,0,1
"I have way more sympathy toward ukraine than this israel palestine conflict 

 for israel and palestine both side be scummy 

 I also want to stay neutral for israel palestine but I want to go all in for ukraine 

   ",0,1
"our opinion mean nothing as long as we have no troop on the ground 

 I think food and medical aid be fine but military aid should nt be send to anyone",0,1
"for 2000 year both party have fight each other while both maintain they be indigenous to palestine 

 let they sort it out or book a plane ticket to lend a hand",0,1
"canada be not take seriously by their ally be nt that long ago that canadas ally draft a joint statement without even consult trudeaus government 



 I m absolutely tired of see the pro hamas rally disturb our life here at the same time keep do it asshole the world be getting feed up 

 argentina make their choice the netherlands be make their choice soon enough if pvv get a coalition so progressive hijack liberalism and the far right be slowly advance see how that work out 

 keep wave they terrorist flag and preach hate speech go for it jihad z the tide will eventually sweep you under",-1,1
canada have no way to tell israel or palestine what to do what s so ever we have nothing that we can hold over their head to stop the conflict so why should canada get involve what so ever,0,1
we need to stay out of it,0,1
I also do nt want million more refugee,0,1
be nt trudeau plan on bring in over 10000 palestinians not really stay neutral at that point,1,0
do nt forget that hamas kidnap canadian aswell we can not afford to be neutral while they be still be hold by terrorist,-1,1
neutral would lead to support isrealfor all their fault they at least be operate within some kind of legal framework,-1,1
I feel for the palestinian people but canada be a country that s an ocean and a desert away with our own issue stay the hell out of foreign affair and focus on home,1,1
"ideally we would have a government somewhat reflective of majority opinion of be neutral 

 of course we do nt have that we have both the major party consistently vote against 95 of world opinion when it come to israel 




 basically join micro island nation in fail to denounce settler",0,0
"canada sell weapon to saudi arabia and yet nobody give a fuck about the war in yemen or all the dead people 

 people be getting propagandize to hard to rabble rouse in canada for a free palestine in order to split the leftist vote and allow proputin fascist to take charge its totally inorganic",-1,0
majority of canadian tired of defend the indefensible and now retreat behind impassivity,0,-1
"ill admit a soft proisrael bias 

 israel buy our gun and plane they be a modern economy that be integrate with our same as a nation like south korea or mexico 

 hamas be more like al qaida or isis murderous terrorist who would happily murder we if they get the chance 

 I have never be worried that an israeli terrorist be go to go on a stabbing rampage in my city or do a suicide bombing or ram a truck into a crowd ca nt say the same about the people they be fight 

 support israel 

 support palestine 

 I m from canada I support my family when they need I I support my community I support the leafs",-1,-1
there be no neutral position when a terrorist organization commit unspeakable atrocity against innocent civilian,-1,1
"we have antisemitism enthusiast   and useful idiot protest on the street with antisemitic slogan   however those as our pm be say be fringe minority 

 literally all   canadian I know or neutral or support israel people I know be from age group from 30 to 70 year old I assume those 9 that support palestine have to be young",-1,1
then they will have to deal with hamas and radical islam on canadian soil,-1,0
I stand with israel but I do nt have a problem with canada shut up everything that come out of trudeau and chows mouth be an embarrassment,-1,1
"ok be neutral stop send any money to israel and disallow israeli product in canada be truly neutral 

 problem be you ca nt do this in the internationally connect world we live in you ca nt just look away and say lalalala I do nt wanna look 

 this be exactly the same as not want to acknowledge what the nazi be do in the warsaw ghetto its not an out of pocket comparison it be completely valid 

 people do nt want neutrality they want people to stop force they to acknowledge the atrocity thar israel be perform 

 genocidal fascist state can not be support",1,1
after read the comment it seem people think neutral mean trade with israel and vote with they on every un clause while ignore palestine as a state and vote against they in every un clause,1,-1
I doubt the have ever be a protest march in gaza or tel aviv demand their government do something about canadian indigenous matter   they do nt care about canada why should canada care back,0,0
neutrality in the face of genocide   grotesque,1,0
"all I want be for our government to not directly be support genocide or terror 

 humanitarian aid to massacre child would be ok imo 

 nothing wrong with build good will in the world for we especially when so many people hate the usa",0,-1
the government be not take a neutral stance they actively vote for israel in the united nations even when its only 7 country in the world vote for israel canada and we be the only western country shame on canada for not be neutral ca nt even get that right,1,-1
good to hear I m in the majority,0,0
what s that quote about good people do nothing in the face of evil,0,1
the fųck we do,0,0
gee I wonder why maybe its because if you say anything positive about palestine lot of people call you a terrorist apologist say anything positive about israel you be a genocide apologist,0,0
I still have no idea why this be even an issue in canada,0,-1
what be one of the most geopolitically irrelevant country go to do to one of the old ongoing conflict in human history shame they to death,0,0
I prefer neutral I have sympathy with the israelis but this be nt my conflict and I want our government to avoid dispute that have nothing to do with we,0,-1
everyone say canada be neutral be willfully ignorant canadas scotiabank hold the large foreign share of elbit system whose ware have be connect to right abuse,1,1
I think we need to stop send aid to palestine dry up foreign aid would make even hama want peace,-1,1
"israel   ally 

 hamas   terrorist 

 I do not see any logic in not support israel with the destruction of hamas   otherwise it just go on like it have be for decade   negotiate with terrorist for hostage be a huge mistake and that would be the only reason why I would say canada should be neutral   it be a total gaffe to do this",-1,0
"honestly I wish our military be 10x its current power state and we could arrive in force right in the middle and say cut the shit 

 and then along with an actual function un take care of the hamas problem as a police operation as it should be 

 none of this fantasy be realistic unfortunately",0,-1
"be literally have like 4 crisis in our home country I want neutrality because we need to be solve the housing col wage suppression and government corruption ontario provincial for sure crisis here on our home soil before we can even think about help foreign nation 

 to all the people actively protest for the conflict what do you expect we to do when we just institute immigrant abuse as our primary immigration policy what do you expect we to do when anyone we bring in as a refugee definitely can not afford to eat or live what do you expect we to do for these foreign nation when our problem be only get bad because our various level of government be clearly not make any effort to fix problem that they can profit personally off of 

 no matter your view on the conflict we need to fix these issue before we can be of actual value to the people in these region suffer anything else be virtue signal",0,1
so hamas be nt a terrorist organization,-1,0
"pick side in the old conflict of all time from the safety and comfort of your home in canada wave your flag with a belly full of popeye that you get doordashe right before you get bored and watch the new marvelstar war on disney 

 you be do nothing for anyone but you be desperate to participate",0,1
no surprise there the vocal minority who have delusion of grandeur do not speak for the rest of we,0,-1
I hate terrorism and want to be firm against it,-1,0
fakenew,0,0
yet canadian have to take side on the ukraine war,0,-1
fair but that ignore decade upon decade geopolitical history,0,0
I want ww3,0,0
"I be just tired grocery be up and I can never afford a house 

 do nt care about israel palestine ukraine russia china taiwan india or khalistan",0,0
yup nothing I can do or say or tell our politician will do that will have any meaningful or lasting impact in a region I do nt understand its a unus israelgazawest bank and the country in that specific region problem have be for decade,0,1
correct,0,0
  duh,0,-1
outsider should be involve in conflict like that,0,0
israel do nt need our help militarily and hamas be a proxy for iran   what western nation would ever support they,-1,0
leave we out of a religious war israel vs palestine neither one be good they both want to kill each other,0,1
"sound about right we just want our government to focus on make life more affordable here and keep the economy from cratere in a deep recession most of we do nt give a shit about yet another war between israel   palestine that s not go to solve anything 

 let the us deal with this mess",0,1
yup,0,0
I agree,0,-1
canada have enough problem within its own border we have already take a stance on the israeli occupation of the west bank and extremist settler violence against the palestinian people we do nt need to get involve in it our own citizen be struggle to eat and house themselves we do nt need to send our underfunded and under equipped caf in to anything we need to address the problem at home we ca nt do anything to stop the killing over there so focus on where we can actually make a difference,0,-1
israelis and palestinians have hate each other for a long long time israelis have more tech more money and more first world support its inevitable what be go to happen,-1,0
ah yes the old canadian not my circus not my monkey mindset its this kind of fence sit that have get we to a crisis in almost every aspect of our life,0,-1
this be the way,0,-1
our only role be to keep it contain in isreal let isreal take care of isreal and canada can take care of canada,0,0
I mean its a long walk to get involve directly plus I m sure there would be a lot of setuppaperwork probably good I just sit this one out,0,0
why be this even a concern for canada we have so many problem at home we should be focus on you do nt make a sandwich for the hungry neighbor if your own family be hungry,0,-1
"there s so many conflict around the world some we should be involve in some capacity and other none 

 the only role we should have with the israelpalestine conflict be one of diplomacy let they decide what kind of future they want a unified state or separate state its not our job to decide for they",0,0
"we can send our arm force to invade both israel and palestine and add they to the great canada area 

 first step must first activate our shock and awe geese force",0,1
how come people do nt say what the fuck anymore,0,0
not give political cover to israel in the un,1,0
the politician would just have to announce a ceasefire and all of this would stop amirite guy s,0,-1
I do nt think that be afraid to get involve just look at ukraine majority of canadian just know well than to get involve in the most complicated messy morally ambiguous blame from both side go back decade and century and both side kind of have a point conflict in the world,0,1
"we be not outof it though 

",0,0
I think people want we neutral to avoid all of the protest and hate crime that be spring up in canada   take any side at all on this enflame either arab or jews in canada,0,0
sure if they do nt want our input though seem fair to assume they do nt want our funding either,0,0
they definitely want your input they both want material and political support they both want the un to pass resolution that favour they for this they need to propagandize,0,1
the israeli refugee plan have canada list as one of the place that they can send hundred of thousand of palestinian refugee to so see it as a tool to be use to displace the population they be try to get rid of,1,-1
